---,WidgetType,WidgetClass
LootBoxLayerWidget,"LootBoxLayer","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/LootBoxMap/UI_LootBoxLayer.UI_LootBoxLayer_C'"
IconButtonWidget,"IconButton","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Button/UI_Element_Button2WithIcon.UI_Element_Button2WithIcon_C'"
OfficeLayerWidget,"OfficeLayer","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_OfficeLayer.UI_OfficeLayer_C'"
OfficeMainWidget,"OfficeMain","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_OfficeMapMain.UI_OfficeMapMain_C'"
OfficeWorkstationPanelWidget,"OfficeWorkstationPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_OfficeWorksationPanel.UI_OfficeWorksationPanel_C'"
OfficeDecorationPanelWidget,"OfficeDecorationPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_OfficeDecorationPanel.UI_OfficeDecorationPanel_C'"
OfficeDecorationCardWidget,"OfficeDecorationCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_DecorationCard.UIE_DecorationCard_C'"
OfficeWorkstationCardWidget,"OfficeWorkstationCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_WorkstationCard.UIE_WorkstationCard_C'"
OfficeUpgradePanelWidget,"OfficeUpgradePanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_OfficeUpgradePanel.UI_OfficeUpgradePanel_C'"
OfficeRecruitmentPanelWidget,"OfficeRecruitmentPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_OfficeRecuritmentLayer.UI_OfficeRecuritmentLayer_C'"
OfficeRecruitmentCardWidget,"OfficeRecruitmentCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Employee/UIE_RecruitmentCard.UIE_RecruitmentCard_C'"
NotificationElemetWidget,"NotificationElement","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Notifications/UIE_Notification.UIE_Notification_C'"
NotificationContainerWidget,"NotificationContainer","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Notifications/UIE_NotificationContainer.UIE_NotificationContainer_C'"
OfficeCollectionPanelWidget,"OfficeCollectionPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_OfficeCollectionPanel.UI_OfficeCollectionPanel_C'"
OfficeProjectCardWidget,"OfficeProjectCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UI_OfficeProjectCard.UI_OfficeProjectCard_C'"
NiagaraTextEffectWidget_Green,"NiagaraTextEffect_Green","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Niagara_Text_Effect/UIE_TextEffect_Green.UIE_TextEffect_Green_C'"
NiagaraTextEffectWidget_Blue,"NiagaraTextEffect_Blue","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Niagara_Text_Effect/UIE_TextEffect_Blue.UIE_TextEffect_Blue_C'"
NiagaraTextEffectWidget_Purple,"NiagaraTextEffect_Purple","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Niagara_Text_Effect/UIE_TextEffect_Purple.UIE_TextEffect_Purple_C'"
NiagaraTextEffectWidget_Red,"NiagaraTextEffect_Red","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Niagara_Text_Effect/UIE_TextEffect_Red.UIE_TextEffect_Red_C'"
NiagaraTextEffectWidget_Yellow,"NiagaraTextEffect_Yellow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Niagara_Text_Effect/UIE_TextEffect_Yellow.UIE_TextEffect_Yellow_C'"
BlindMaskSweepWidget,"BlindMaskSweep","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Office/UIE_BlindMask_Sweep_2.UIE_BlindMask_Sweep_2_C'"
TextGlitchWidget,"TextGlitch","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/UIEffectLab/Widgets/Efffects/WBP_Effect_TextGlitch.WBP_Effect_TextGlitch_C'"
OfficeEmployeeListCardWidget,"OfficeEmployeeListCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Employee/UIE_EmployeeListCard.UIE_EmployeeListCard_C'"
LaunchConfirmWidget,"LaunchConfirm","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_LaunchConfirmPanel.UI_LaunchConfirmPanel_C'"
ProjectReportWidget,"ProjectReport","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_ProjectReportPanel.UI_ProjectReportPanel_C'"
RecruitmentResultPanelWIdget,"RecruitmentResultPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/Recruitment/UI_OfficeRecuritmentResultPanel.UI_OfficeRecuritmentResultPanel_C'"
BubbleElementWidget,"BubbleElement","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_BubbleElement.UIE_BubbleElement_C'"
ScoreOrbContainerWidget,"ScoreOrbContainer","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_ScoreOrbContainerWidget.UIE_ScoreOrbContainerWidget_C'"
WordlMapLayer,"WorldMapLayer","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/WorldMap/UI_WorldMapLayer.UI_WorldMapLayer_C'"
WorldMapBottom,"WorldMapBottom","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/WorldMap/UI_WorldMapBottom.UI_WorldMapBottom_C'"
CountryName,"CountryName","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/WorldMap/UIE_CountryName.UIE_CountryName_C'"
ChatPanel,"ChatPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/System/UI_ChatPanel.UI_ChatPanel_C'"
ChatMessage,"ChatMessage","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Chat/UIE_ChatMessage.UIE_ChatMessage_C'"
HQ,"HQManagePanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_HQManagePanel.UI_HQManagePanel_C'"
HQBuildingSlot,"HQBuildingSlot","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Building/UIE_BuildingSlotHorizon.UIE_BuildingSlotHorizon_C'"
RankingPanelWidget,"RankingPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/System/UI_RankingPanel.UI_RankingPanel_C'"
RankingEntryCardWidget,"RankingEntryCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_RankingEntryCard.UIE_RankingEntryCard_C'"
RankingPlayerDetailWidget,"RankingPlayerDetail","None"
VisitMOdeOverlayWIdget,"VisitModeOverlay","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/System/UI_VisitModeOverlayPanel.UI_VisitModeOverlayPanel_C'"
ProfileImagePanel,"ProfileImagePanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/System/UI_ProfileImagePanel.UI_ProfileImagePanel_C'"
HQLevelUpCelebrationWidget,"HQLevelUpCelebration","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_HQLevelUpCelebration.UI_HQLevelUpCelebration_C'"
OfficeProjectBoard,"None","None"
OfficeRequestCard,"OfficeRequestCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_OfficeProjectCardRequest.UIE_OfficeProjectCardRequest_C'"
NewRow,"EventChoicePanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_EventChoicePanel.UI_EventChoicePanel_C'"
NewRow_0,"EventChoiceCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_EventChoiceCard.UIE_EventChoiceCard_C'"
NewRow_1,"WorkerBubble","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Office/UIE_WorkerBubble.UIE_WorkerBubble_C'"
NewRow_2,"TradeOrderCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_TradeOrderCard.UIE_TradeOrderCard_C'"
NewRow_3,"TradeOrderBoard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/WorldMap/UIE_TradeBoard.UIE_TradeBoard_C'"
NewRow_4,"CountryDetail","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/WorldMap/UI_CountryDetail.UI_CountryDetail_C'"
NewRow_5,"CountryRouterCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_CountryRouterCard.UIE_CountryRouterCard_C'"
NewRow_6,"CountryRouterPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/WorldMap/UI_CountryRouterPanel.UI_CountryRouterPanel_C'"
NewRow_7,"UpgradeSlot","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Upgrade/UIE_UpgradeSlotHorizon.UIE_UpgradeSlotHorizon_C'"
NewRow_19,"ItemCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_ItemCard.UIE_ItemCard_C'"
NewRow_8,"ItemCardQtyInside","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_ItemCard_QtyInside.UIE_ItemCard_QtyInside_C'"
NewRow_18,"ItemCardQtyBelow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_ItemCard_QtyBelow.UIE_ItemCard_QtyBelow_C'"
NewRow_9,"ProductionCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_ProductionCardWidget.UIE_ProductionCardWidget_C'"
NewRow_10,"ProductionStartPopup","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/WorldMap/UI_ProductionStartPopup.UI_ProductionStartPopup_C'"
NewRow_11,"ItemTooltip","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Etc/UIE_ItemTooltip.UIE_ItemTooltip_C'"
NewRow_12,"WorldFactoryLine","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/WorldMap/UIE_FactoryLine.UIE_FactoryLine_C'"
NewRow_13,"MineLine","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/WorldMap/UIE_MineLine.UIE_MineLine_C'"
NewRow_14,"MinePicker","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/WorldMap/UI_MinePicker.UI_MinePicker_C'"
NewRow_15,"MineResourceCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_MineResourceCard.UIE_MineResourceCard_C'"
NewRow_20,"ProductSellModal","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/WorldMap/UI_ProductSellModal.UI_ProductSellModal_C'"
NewRow_16,"CountrySellRow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/WorldMap/UIE_CountrySellRow.UIE_CountrySellRow_C'"
NewRow_17,"BuildingLightCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Building/UIE_BuildingLightCard.UIE_BuildingLightCard_C'"
FloatingNumber,"FloatingNumber","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Effects/UIE_FloatingNumber.UIE_FloatingNumber_C'"
MissionTracker,"MissionTracker","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/HUD/UIE_MissionTracker.UIE_MissionTracker_C'"
MissionGuideOverlay,"MissionGuideOverlay","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/HUD/UI_MissionGuideOverlay.UI_MissionGuideOverlay_C'"
ShopPanel,"ShopPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_ShopPanel.UI_ShopPanel_C'"
ShopItemCard,"ShopItemCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_ShopItemCard.UIE_ShopItemCard_C'"
WorkstationInfo,"WorkstationInfo","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_WorkstationInfo.UI_WorkstationInfo_C'"
GachaPresentation,"EmployeeGachaPresentation","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_EmployeeGachaPresentation.UI_EmployeeGachaPresentation_C'"
EmployeeIdCardMini,"EmployeeIdCardMini","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_EmployeeIdCardMini.UIE_EmployeeIdCardMini_C'"
GachaProbabilityPanel,"EmployeeGachaProbabilityPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_EmployeeGachaProbabilityPanel.UI_EmployeeGachaProbabilityPanel_C'"
BuildingTraitGachaPanel,"BuildingTraitGachaPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_BuildingTraitGachaPanel.UI_BuildingTraitGachaPanel_C'"
TraitGachaProbabilityPanel,"TraitGachaProbabilityPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_TraitGachaProbabilityPanel.UI_TraitGachaProbabilityPanel_C'"
NewRow_21,"GachaRevealPresentation","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_GachaPresentation.UI_GachaPresentation_C'"
RewardReveal,"RewardReveal","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/Common/UI_RewardReveal.UI_RewardReveal_C'"
TitleLogo,"TitleLogo","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Title/UIE_TitleLogo.UIE_TitleLogo_C'"
PlotPriceBadge,"PlotPriceBadge","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Plot/UIE_PlotPriceBadge.UIE_PlotPriceBadge_C'"
WorkerFatigueBar,"WorkerFatigueBar","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Office/UIE_FatigueBar.UIE_FatigueBar_C'"
CityCompanyInfo,"CityCompanyInfo","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_CityCompanyInfo.UI_CityCompanyInfo_C'"
CityCompanyManage,"CityCompanyManage","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_CityCompanyManage.UI_CityCompanyManage_C'"
SpecLaunch,"None","None"
BoostGamble,"BoostGamble","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_BoostGamblePanel.UI_BoostGamblePanel_C'"
CodexPanel,"CodexPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_CodexPanel.UI_CodexPanel_C'"
RoadmapNode,"RoadmapNode","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Portfolio/UIE_RoadmapNode.UIE_RoadmapNode_C'"
PortfolioCell,"PortfolioCell","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Portfolio/UIE_PortfolioCell.UIE_PortfolioCell_C'"
SettingsPanel,"SettingsPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_SettingsPanel.UI_SettingsPanel_C'"
EmployeeWindow,"EmployeeWindow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_EmployeeWindow.UI_EmployeeWindow_C'"
EnhanceStarforceModal,"EnhanceStarforceModal","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_EnhanceStarforceModal.UI_EnhanceStarforceModal_C'"
TraitSetChip,"TraitSetChip","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Building/UIE_TraitSetChip.UIE_TraitSetChip_C'"
OfficeEventRail,"OfficeEventRail","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Office/UIE_OfficeEventRail.UIE_OfficeEventRail_C'"
OfflineReportModal,"OfflineReportModal","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_OfflineReportModal.UI_OfflineReportModal_C'"
OfflineGainRow,"OfflineGainRow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Building/UIE_OfflineGainRow.UIE_OfflineGainRow_C'"
OfficeStatusToast,"OfficeStatusToast","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Office/UIE_OfficeStatusToast.UIE_OfficeStatusToast_C'"
RewardToast,"RewardToast","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/Common/UI_RewardToast.UI_RewardToast_C'"
ProductionOrderRow,"ProductionOrderRow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Cards/UIE_ProductionOrderRow.UIE_ProductionOrderRow_C'"
MaterialReqRow,"MaterialReqRow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_MaterialReqRow.UIE_MaterialReqRow_C'"
CountryDemandCard,"CountryDemandCard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/WorldMap/UIE_CountryDemandCard.UIE_CountryDemandCard_C'"
PotentialOddsPanel,"PotentialOddsPanel","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_PotentialOdds.UI_PotentialOdds_C'"
PotentialOddsRow,"PotentialOddsRow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Employee/UIE_PotentialOddsRow.UIE_PotentialOddsRow_C'"
BuildingLevelRoadmap,"TierRoadmap","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/MainMap/UI_TierRoadmap.UI_TierRoadmap_C'"
BuildingLevelNode,"TierNode","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Building/UIE_TierNode.UIE_TierNode_C'"
ProfileAvatarTile,"ProfileAvatarTile","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Profile/UIE_ProfileAvatarTile.UIE_ProfileAvatarTile_C'"
GoalTracker,"GoalTracker","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/HUD/UIE_GoalTracker.UIE_GoalTracker_C'"
GoalTrackerRow,"GoalTrackerRow","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/HUD/UIE_GoalTrackerRow.UIE_GoalTrackerRow_C'"
VaultGauge,"VaultGauge","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Building/UIE_VaultGauge.UIE_VaultGauge_C'"
RevenueRateChip,"RevenueRateChip","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_RevenueRateChip.UIE_RevenueRateChip_C'"
FundsToast,"FundsToast","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Notifications/UIE_FundsToast.UIE_FundsToast_C'"
GuideTooltip,"GuideTooltip","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_GuideTooltip.UIE_GuideTooltip_C'"
PanelIntroOverlay,"PanelIntroOverlay","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_PanelIntroOverlay.UIE_PanelIntroOverlay_C'"
GestureHint,"GestureHint","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Common/UIE_GestureHint.UIE_GestureHint_C'"
LaunchRewardRevealWidget,"LaunchRewardReveal","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_LaunchRewardReveal.UI_LaunchRewardReveal_C'"
ReviewReactionToastWidget,"ReviewReactionToast","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Office/UIE_ReviewReactionToast.UIE_ReviewReactionToast_C'"
TeamPipItem,"TeamPipItem","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Office/UIE_TeamPipItem.UIE_TeamPipItem_C'"
PitchTile,"PitchTile","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Elements/Office/UIE_PitchTile.UIE_PitchTile_C'"
PitchBoard,"PitchBoard","/Script/UMG.WidgetBlueprintGeneratedClass'/Game/CompanyGrowth/UI/Panels/OfficeMap/UI_PitchBoardPanel.UI_PitchBoardPanel_C'"
